"Which gender do you identify as?","What's your age?","Which continent are you from?","How many years of experience do you have in World of Warcraft?","Do you like to play in a group of 5+ while playing the game?","Which role would you like to play in the upcoming World of Warcraft expansion?"
"1","3","1","4","1","1"
"1","3","2","4","1","1"
"1","1","1","1","2","1"
"1","1","3","2","1","1"
"1","3","4","4","1","1"
"3","3","2","2","1","1"
"1","3","1","4","2","1"
"2","1","1","4","1","2."
"2","2","2","2","1","2."
"2","3","4","3","1","2."
"2","4","3","4","1","2."
"2","5","2","4","1","2."
"2","5","6","1","1","2."
"2","3","2","4","1","2."
"2","3","1","2","1","2."
"2","4","1","4","1","2."
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","4","1","4","1","3"
"1","5","1","4","1","3"
"1","5","6","3","1","3"
"1","5","3","4","1","3"
"1","2","2","3","1","1"
"1","1","1","1","1","1"
"1","2","1","1","1","1"
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","5","3","4","1","3"
"1","2","4","2","1","3"
"2","5","1","1","1","2."
"1","3","1","3","1","1"
"1","1","1","1","1","1"
"1","1","1","1","1","1"
"1","5","2","4","2","1"
"1","2","1","3","1","1"
"1","1","2","2","1","1"
"1","1","2","2","1","1"
"2","5","6","4","1","2."
"1","2","2","3","1","1"
"1","2","6","2","1","1"
"1","1","1","1","2","1"
"1","1","2","2","2","1"
"1","2","1","4","1","1"
"3","1","1","3","1","1"
"1","3","4","3","1","1"
"1","2","6","3","1","1"
"1","2","2","2","1","1"
"1","2","1","2","2","1"
"1","2","4","2","1","1"
"1","2","1","2","1","1"
"2","5","3","4","1","2."
"2","5","5","4","1","2."
"2","5","1","4","1","2."
"2","1","1","4","1","2."
"2","5","4","4","1","2."
"2","2","1","4","2","1"
"1","5","3","4","1","3"
"1","5","2","4","1","3"
"1","3","1","4","1","1"
"1","3","2","4","1","1"
"1","1","1","1","2","1"
"1","1","3","2","1","1"
"1","3","4","4","1","1"
"3","3","2","2","1","1"
"1","3","1","4","2","1"
"2","1","1","4","1","2."
"2","2","2","2","1","2."
"2","3","4","3","1","2."
"2","4","3","4","1","2."
"2","5","2","4","1","2."
"2","5","6","1","1","2."
"2","3","2","4","1","2."
"2","3","1","2","1","2."
"2","4","1","4","1","2."
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","4","1","4","1","3"
"1","5","1","4","1","3"
"1","5","6","3","1","3"
"1","5","3","4","1","3"
"1","2","2","3","1","1"
"1","1","1","1","1","1"
"1","2","1","1","1","1"
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","5","3","4","1","3"
"1","2","4","2","1","3"
"2","5","1","1","1","2."
"1","3","1","3","1","1"
"1","1","1","1","1","1"
"1","1","1","1","1","1"
"1","5","2","4","2","1"
"1","2","1","3","1","1"
"1","1","2","2","1","1"
"1","1","2","2","1","1"
"2","5","6","4","1","2."
"1","2","2","3","1","1"
"1","2","6","2","1","1"
"1","1","1","1","2","1"
"1","1","2","2","2","1"
"1","2","1","4","1","1"
"3","1","1","3","1","1"
"1","3","4","3","1","1"
"1","2","6","3","1","1"
"1","2","2","2","1","1"
"1","2","1","2","2","1"
"1","2","4","2","1","1"
"1","2","1","2","1","1"
"2","5","3","4","1","2."
"2","5","5","4","1","2."
"2","5","1","4","1","2."
"2","1","1","4","1","2."
"2","5","4","4","1","2."
"2","2","1","4","2","1"
"1","5","3","4","1","3"
"1","5","2","4","1","3"
"1","3","1","4","1","1"
"1","3","2","4","1","1"
"1","1","1","1","2","1"
"1","1","3","2","1","1"
"1","3","4","4","1","1"
"3","3","2","2","1","1"
"1","3","1","4","2","1"
"2","1","1","4","1","2."
"2","2","2","2","1","2."
"2","3","4","3","1","2."
"2","4","3","4","1","2."
"2","5","2","4","1","2."
"2","5","6","1","1","2."
"2","3","2","4","1","2."
"2","3","1","2","1","2."
"2","4","1","4","1","2."
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","4","1","4","1","3"
"1","5","1","4","1","3"
"1","5","6","3","1","3"
"1","5","3","4","1","3"
"1","2","2","3","1","1"
"1","1","1","1","1","1"
"1","2","1","1","1","1"
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","5","3","4","1","3"
"1","2","4","2","1","3"
"2","5","1","1","1","2."
"1","3","1","3","1","1"
"1","1","1","1","1","1"
"1","1","1","1","1","1"
"1","5","2","4","2","1"
"1","2","1","3","1","1"
"1","1","2","2","1","1"
"1","1","2","2","1","1"
"2","5","6","4","1","2."
"1","2","2","3","1","1"
"1","2","6","2","1","1"
"1","1","1","1","2","1"
"1","1","2","2","2","1"
"1","2","1","4","1","1"
"3","1","1","3","1","1"
"1","3","4","3","1","1"
"1","2","6","3","1","1"
"1","2","2","2","1","1"
"1","2","1","2","2","1"
"1","2","4","2","1","1"
"1","2","1","2","1","1"
"2","5","3","4","1","2."
"2","5","5","4","1","2."
"2","5","1","4","1","2."
"2","1","1","4","1","2."
"2","5","4","4","1","2."
"2","2","1","4","2","1"
"1","5","3","4","1","3"
"1","5","2","4","1","3"
"1","3","1","4","1","1"
"1","3","2","4","1","1"
"1","1","1","1","2","1"
"1","1","3","2","1","1"
"1","3","4","4","1","1"
"3","3","2","2","1","1"
"1","3","1","4","2","1"
"2","1","1","4","1","2."
"2","2","2","2","1","2."
"2","3","4","3","1","2."
"2","4","3","4","1","2."
"2","5","2","4","1","2."
"2","5","6","1","1","2."
"2","3","2","4","1","2."
"2","3","1","2","1","2."
"2","4","1","4","1","2."
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","4","1","4","1","3"
"1","5","1","4","1","3"
"1","5","6","3","1","3"
"1","5","3","4","1","3"
"1","2","2","3","1","1"
"1","1","1","1","1","1"
"1","2","1","1","1","1"
"1","5","1","4","1","3"
"1","5","1","4","1","3"
"1","5","3","4","1","3"
"1","2","4","2","1","3"
"2","5","1","1","1","2."
"1","3","1","3","1","1"
"1","1","1","1","1","1"
"1","1","1","1","1","1"
"1","5","2","4","2","1"
"1","2","1","3","1","1"
"1","1","2","2","1","1"
"1","1","2","2","1","1"
"2","5","6","4","1","2."
"1","2","2","3","1","1"
"1","2","6","2","1","1"
"1","1","1","1","2","1"
"1","1","2","2","2","1"
"1","2","1","4","1","1"
"3","1","1","3","1","1"
"1","3","4","3","1","1"
"1","2","6","3","1","1"
"1","2","2","2","1","1"
"1","2","1","2","2","1"
"1","2","4","2","1","1"
"1","2","1","2","1","1"
"2","5","3","4","1","2."
"2","5","5","4","1","2."
"2","5","1","4","1","2."
"2","1","1","4","1","2."
"2","5","4","4","1","2."
"2","2","1","4","2","1"
"1","5","3","4","1","3"
"1","5","2","4","1","3"
